,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
31888,Adoption,1,1,Yes,lateday,Monday,No,Female,Mixed,Sporting,No
19891,Adoption,0,1,Yes,midday,Friday,No,Male,Hybrid,Sporting,Yes
14268,Adoption,0,1,Yes,lateday,Saturday,No,Female,Pure,PitBull,No
27735,Adoption,1,1,Yes,midday,Thursday,No,Male,Pure,Working,Yes
25241,Adoption,0,2,Yes,lateday,Saturday,No,Female,Mixed,Herding,Yes
29054,Return to Owner,1,1,Yes,lateday,Thursday,No,Female,Mixed,Working,Yes
3809,Return to Owner,2,1,Yes,midday,Wednesday,No,Female,Mixed,Sporting,No
21419,Return to Owner,0,1,Yes,midday,Saturday,No,Male,Mixed,PitBull,No
1395,Transfer,0,1,Yes,midday,Saturday,No,Female,Mixed,Terrier,Yes
19103,Adoption,1,1,No,lateday,Tuesday,No,Female,Mixed,NonSporting,No
22139,Adoption,0,1,Yes,lateday,Thursday,No,Female,Mixed,Sporting,Yes
31397,Adoption,0,1,Yes,midday,Tuesday,No,Female,Mixed,PitBull,Yes
14122,Adoption,1,1,Yes,lateday,Monday,No,Male,Hybrid,Hound,Yes
9008,Return to Owner,1,1,Yes,midday,Saturday,Yes,Male,Mixed,NonSporting,Yes
10099,Return to Owner,2,1,Yes,lateday,Sunday,No,Female,Mixed,Sporting,No
24281,Return to Owner,0,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,Yes
15019,Transfer,0,2,Yes,midday,Saturday,Yes,Female,Mixed,Herding,No
2436,Transfer,0,1,Yes,night,Tuesday,No,Female,Hybrid,Sporting,Yes
7463,Transfer,1,0,No,midday,Thursday,No,Male,Mixed,Toy,No
14667,Return to Owner,2,1,Yes,midday,Saturday,No,Female,Mixed,Sporting,No
29762,Adoption,1,0,Yes,morning,Thursday,No,Male,Mixed,Toy,No
15889,Return to Owner,1,1,Yes,midday,Tuesday,Yes,Male,Mixed,PitBull,Yes
31339,Adoption,1,1,Yes,midday,Sunday,No,Male,Mixed,Sporting,No
29789,Adoption,0,1,Yes,lateday,Thursday,No,Male,Mixed,Sporting,No
17843,Return to Owner,2,1,Yes,midday,Tuesday,No,Male,Hybrid,PitBull,Yes
22201,Return to Owner,1,0,Yes,midday,Saturday,No,Male,Mixed,Toy,Yes
28659,Transfer,0,1,Yes,night,Wednesday,Yes,Male,Mixed,Sporting,No
6621,Adoption,1,0,Yes,midday,Thursday,No,Male,Mixed,Toy,No
28252,Adoption,0,1,Yes,lateday,Monday,No,Male,Mixed,Sporting,No
22861,Adoption,1,1,Yes,lateday,Tuesday,No,Female,Mixed,PitBull,Yes
12965,Return to Owner,1,1,Yes,midday,Sunday,No,Male,Hybrid,Working,No
10256,Adoption,0,1,Yes,lateday,Saturday,No,Male,Mixed,Sporting,Yes
14770,Adoption,1,1,Yes,midday,Tuesday,No,Male,Hybrid,Sporting,Yes
2612,Adoption,0,1,Yes,lateday,Monday,No,Male,Mixed,NonSporting,Yes
26560,Return to Owner,1,1,Yes,night,Sunday,No,Female,Mixed,PitBull,Yes
9841,Return to Owner,2,1,Yes,lateday,Saturday,No,Female,Mixed,Herding,No
26096,Transfer,0,1,Yes,night,Wednesday,No,Male,Mixed,Working,Yes
22103,Return to Owner,1,0,Yes,lateday,Tuesday,No,Male,Mixed,Toy,No
23062,Adoption,1,0,Yes,night,Thursday,No,Male,Hybrid,Terrier,Yes
13500,Adoption,0,1,Yes,morning,Saturday,No,Female,Mixed,PitBull,No
26234,Return to Owner,0,1,Yes,lateday,Monday,No,Male,Mixed,Sporting,No
23892,Transfer,1,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,Yes
12435,Transfer,0,1,Yes,lateday,Friday,No,Female,Mixed,NonSporting,Yes
9487,Euthanasia,2,2,Yes,midday,Monday,Yes,Male,Mixed,Herding,No
6451,Adoption,0,0,Yes,lateday,Thursday,No,Male,Mixed,Terrier,Yes
6132,Adoption,0,0,No,lateday,Sunday,No,Male,Pure,Toy,Yes
27060,Adoption,0,2,Yes,morning,Thursday,No,Female,Mixed,Herding,Yes
31271,Return to Owner,0,1,Yes,midday,Thursday,Yes,Female,Pure,Working,Yes
24360,Adoption,1,2,Yes,lateday,Tuesday,No,Male,Mixed,Herding,Yes
12473,Adoption,1,2,Yes,midday,Saturday,No,Male,Mixed,Working,Yes
21428,Return to Owner,0,1,No,lateday,Saturday,Yes,Female,Hybrid,Herding,Yes
8867,Transfer,0,0,Yes,midday,Monday,No,Male,Mixed,Terrier,No
23786,Return to Owner,0,1,Yes,lateday,Tuesday,No,Male,Hybrid,Herding,Yes
30558,Transfer,1,0,Yes,midday,Friday,No,Male,Mixed,Toy,Yes
30536,Adoption,1,0,No,lateday,Wednesday,No,Female,Pure,Toy,No
7471,Transfer,0,1,Yes,lateday,Thursday,No,Female,Mixed,Terrier,Yes
13401,Transfer,0,0,Yes,midday,Tuesday,Yes,Male,Hybrid,Toy,No
26575,Adoption,1,0,No,lateday,Sunday,No,Male,Mixed,Toy,No
8416,Return to Owner,2,0,Yes,midday,Monday,No,Female,Mixed,Terrier,Yes
25757,Adoption,0,1,Yes,lateday,Thursday,No,Male,Mixed,Herding,No
13622,Return to Owner,1,1,Yes,lateday,Thursday,No,Male,Mixed,PitBull,Yes
477,Euthanasia,1,1,Yes,lateday,Tuesday,Yes,Female,Mixed,Working,Yes
12182,Adoption,0,1,Yes,midday,Friday,Yes,Male,Hybrid,NonSporting,No
27575,Adoption,0,1,Yes,lateday,Friday,No,Male,Mixed,Herding,No
2302,Adoption,1,0,Yes,lateday,Friday,No,Female,Mixed,Toy,Yes
7526,Transfer,0,1,No,lateday,Saturday,Yes,Female,Hybrid,Sporting,Yes
13226,Adoption,1,1,Yes,midday,Wednesday,No,Female,Mixed,Sporting,Yes
28310,Euthanasia,0,1,Yes,midday,Wednesday,No,Female,Mixed,PitBull,Yes
6496,Adoption,0,1,Yes,midday,Saturday,No,Male,Hybrid,Sporting,No
8434,Transfer,1,0,Yes,midday,Monday,Yes,Male,Pure,Toy,Yes
15029,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Terrier,Yes
5420,Transfer,0,0,Yes,midday,Tuesday,Yes,Female,Pure,Toy,No
24534,Adoption,0,1,Yes,midday,Wednesday,No,Female,Hybrid,Sporting,Yes
30102,Adoption,0,1,Yes,midday,Tuesday,No,Female,Pure,NonSporting,Yes
27472,Adoption,2,0,Yes,lateday,Tuesday,No,Male,Hybrid,Terrier,Yes
10424,Transfer,0,1,No,lateday,Friday,Yes,Female,Hybrid,Hound,No
23400,Return to Owner,0,3,Yes,midday,Tuesday,No,Male,Mixed,Working,No
12424,Euthanasia,1,1,No,midday,Friday,Yes,Female,Mixed,PitBull,No
29588,Return to Owner,1,1,Yes,midday,Wednesday,Yes,Female,Mixed,PitBull,Yes
12173,Adoption,0,1,Yes,night,Friday,No,Female,Mixed,Sporting,No
3788,Transfer,2,0,Yes,midday,Tuesday,No,Male,Pure,Toy,Yes
19404,Return to Owner,1,1,Yes,midday,Sunday,No,Female,Hybrid,PitBull,Yes
7762,Adoption,0,0,No,lateday,Sunday,No,Male,Hybrid,Terrier,No
12748,Adoption,1,2,No,morning,Sunday,No,Male,Mixed,Working,Yes
25052,Return to Owner,1,1,Yes,midday,Sunday,No,Female,Hybrid,Working,Yes
26850,Adoption,0,1,No,morning,Thursday,No,Female,Pure,PitBull,Yes
7927,Transfer,0,1,No,lateday,Friday,Yes,Male,Hybrid,Sporting,No
